Date,Account,Description,Category,Tags,Amount
12/30/2024,Savings 9793,Online Transfer To Person Two S Everyday Checking Xxxxxxxxx2628 Ref #ib0qrrzwnl On 12/30/24,Transfers,,-80
12/30/2024,Savings 9793,Recurring Transfer From Person Two S Everyday Checking Ref #op0qr7qd2y Xxxxxxxxx2628,Transfers,,100
12/30/2024,Brokerage IRA,Schf - Schwab Strategic Tr-intl Eqty Etf,Allocated Excess Cash,,-5936.97
12/30/2024,Brokerage IRA,Gs - Goldman Sachs Group Inc,Dividends Received (tax-advantaged),,75
12/30/2024,Brokerage IRA,Fcx - Freeport-mcmoran Inc-cl B,Allocated Excess Cash,,-1485.99
12/29/2024,Credit Card 2637,Safeway,Groceries,,-36.58
12/29/2024,Credit Card 2004,Lifecafe,Restaurants,,-15.2
12/29/2024,Credit Card 2637,Sunoco,Gasoline/Fuel,,-45.21
12/29/2024,Credit Card 2637,Costco,General Merchandise,,-204.4
12/28/2024,Credit Card 2004,Walgreens,Healthcare/Medical,,-15.03
12/28/2024,Credit Card 2637,Uber,Travel,,-287.58
12/28/2024,Credit Card 2637,Dunkin' Donuts,Restaurants,,-13.72
12/28/2024,Credit Card 2637,Sq *easy Ride,Travel,,-50
12/28/2024,Credit Card 2637,Murphy Usa,Gasoline/Fuel,,-29.94
12/28/2024,Credit Card 5529,Chick-fil-a,Restaurants,,-7.08
12/28/2024,Credit Card 2004,Apple,Electronics,,-0.99
12/27/2024,Credit Card 4300,Citibank,Online Services,,49.99
12/27/2024,Credit Card 2637,Uber,Travel,,-46.02
12/27/2024,Credit Card 2637,Uber,Travel,,-9.2
12/27/2024,Credit Card 2637,United Xxxxxxxxx0208,Travel,,-29.99
12/27/2024,Credit Card 2637,Safeway,Groceries,,-8.36
12/27/2024,Credit Card 4008,Keeps Consult - Kmg New York Ny,Travel,,-5
12/27/2024,Credit Card 2637,Fish Mox Fish Flex,Pets/Pet Care,,-123
12/27/2024,Brokerage 8440,Redemption From Core Account Cash,Securities Trades,,7526.8
12/27/2024,Brokerage 8440,Transferred To Transfer,Transfers,,-1100
12/27/2024,Brokerage 8440,Transferred To Transfer,Transfers,,-1100
12/27/2024,Brokerage 8440,Transferred To Transfer,Transfers,,-1100
12/27/2024,Checking 2628,Online Transfer To Person Two S Everyday Checking Xxxxxx0819 Ref #ib0qr23zbv On 12/27/24,Transfers,,-400
12/27/2024,Checking 2628,Mobile Deposit : Ref Number :xxxxxxxx3514,Credit Card Payments,,556.23
12/27/2024,Brokerage IRA,Meta - Meta Platforms Inc-cl A,Dividends Received (tax-advantaged),,17
12/27/2024,Brokerage IRA,Vglt - Vanguard Scottsdale Fds-long Term Treas,Dividends Received (tax-advantaged),,16.19
12/27/2024,Brokerage IRA,Bndx - Vanguard Charlotte Fds-total Int Bd Etf,Dividends Received (tax-advantaged),,87.2
12/27/2024,Brokerage IRA,Bsv - Vanguard Bd Index Fds-short Trm Bond,Dividends Received (tax-advantaged),,34.14
12/27/2024,Brokerage IRA,Pdbc - Invesco Actvely Mngd Etc Fd-optimum Yield,Dividends Received (tax-advantaged),,722.99
12/27/2024,Brokerage IRA,Schp - Schwab Strategic Tr-us Tips Etf,Dividends Received (tax-advantaged),,29.84
12/27/2024,Brokerage IRA,Bac - Bank America Corp,Dividends Received (tax-advantaged),,38.48
12/27/2024,Brokerage IRA,Vgit - Vanguard Scottsdale Fds-inter Term Treas,Dividends Received (tax-advantaged),,25.66
12/27/2024,Brokerage IRA,Nvda - Nvidia Corporation,Dividends Received (tax-advantaged),,2
12/27/2024,Brokerage IRA,Khc - Kraft Heinz Co,Dividends Received (tax-advantaged),,67.6
12/26/2024,Credit Card 4008,Cooper's Hawk Winery & Restaurants,Restaurants,,-64.99
12/26/2024,Credit Card 2004,Mobile Payment - Thank You,Credit Card Payments,,901.99
12/26/2024,Credit Card 2637,Costco,General Merchandise,,-110.16
12/26/2024,Credit Card 2637,Costco,General Merchandise,,-64.97
12/26/2024,Brokerage 8440,Purchase Into Core Account Cash,Transfers,,-15700
12/26/2024,Brokerage 8440,Transferred To Vs Xxx-xxxx18-1 Invesco Qqq Tr Unit Ser 1,Transfers,,0
12/26/2024,Brokerage 8440,You Bought Invesco Qqq Tr Unit Ser 1,Securities Trades,,-4226.8
12/26/2024,Brokerage 8440,Electronic Funds Transfer Received,Transfers,,3300
12/26/2024,Brokerage 8440,Electronic Funds Transfer Received,Transfers,,4400
12/26/2024,Brokerage 8440,Electronic Funds Transfer Received,Transfers,,8000
12/26/2024,Brokerage 9091,Af Trgt Date 2030 R6 - Dividend,Securities Trades,,4827.48
12/26/2024,Checking 4690,American Express,Credit Card Payments,,-901.99
12/26/2024,Checking 4690,Fidelity Investments,Transfers,,-8000
12/26/2024,Checking 4690,Fidelity Investments,Transfers,,-4400
12/26/2024,Checking 4690,Fidelity Investments,Transfers,,-3300
12/26/2024,Brokerage IRA,Vnq - Vanguard Index Fds-real Estate Etf,Dividends Received (tax-advantaged),,712.63
12/25/2024,Credit Card 2637,United Xxxxxxxxx7241,Travel,,-299.48
12/25/2024,Credit Card 2637,United Xxxxxxxxx9816,Travel,,-421.47
12/25/2024,Credit Card 2004,Google *youtubepremi G.co/helppay# Ca,Entertainment,,-13.99
12/25/2024,Credit Card 2004,Westin Hotels & Resorts,Restaurants,,-142.38
12/25/2024,Credit Card 2004,Courtyard,Travel,,-109.61
12/24/2024,Credit Card 2637,Safeway,Groceries,,-106.18
12/24/2024,Credit Card 2637,Safeway,Groceries,,-141.62
12/24/2024,Credit Card 5529,Chef On Wheels Llc,Restaurants,,-13.66
12/24/2024,Checking 2637,Paypal Inst Xfer Xx1224 Gamingfunds Person One,Transfers,,-40
12/24/2024,Checking 2637,Paypal Inst Xfer Xx1224 Gamingfunds Person One,Transfers,,-35
12/24/2024,Checking 2300,Cash Ewithdrawal In Branch 12/24/2024 08:57 Am 30 Catoctin Cir Se Leesburg Va 1961,ATM/Cash,,-200
12/24/2024,Credit Card 2004,Ssp*dilldinkersmanascolumbia Md,Restaurants,,-18
12/24/2024,Credit Card 2637,Costco,General Merchandise,,-132.42
12/24/2024,Credit Card 2637,Costco,General Merchandise,,-170.01
12/24/2024,Credit Card 2637,Adobe,Online Services,,-19.99
12/24/2024,Credit Card 2637,Ssp*dilldinkersmanassas,Restaurants,,-18
12/24/2024,Credit Card 2637,Cvs Pharmacy,Healthcare/Medical,,-73.38
12/24/2024,Credit Card 2637,Loudoun County Public Schools,Education,,-35
12/24/2024,Credit Card 2637,E-zpass,Travel,,-35
12/24/2024,Brokerage IRA,Vnqi - Vanguard Intl Equity Index F-glb Ex Us Etf,Dividends Received (tax-advantaged),,2275.05
12/24/2024,Brokerage IRA,Ebnd - Spdr Ser Tr-bloomberg Emergi,Dividends Received (tax-advantaged),,20.03
12/24/2024,Brokerage IRA,Vwo - Vanguard Intl Equity Index F-ftse Emr Mkt Etf,Dividends Received (tax-advantaged),,2731.13
12/24/2024,Brokerage IRA,Vss - Vanguard Intl Equity Index F-ftse Smcap Etf,Dividends Received (tax-advantaged),,770.62
12/23/2024,Credit Card 2004,Whole Foods Market,Groceries,,-73.67
12/23/2024,Credit Card 2004,Patsy's American,Restaurants,,-144.58
12/23/2024,Credit Card 2637,Costco,General Merchandise,,-411.17
12/23/2024,Credit Card 2637,Audible,Hobbies,,-14.95
12/23/2024,Credit Card 2637,Safeway,Groceries,,-28.94
12/23/2024,Credit Card 2637,Amazon Marketplace,General Merchandise,,-47.68
12/23/2024,Brokerage IND,Schf - Schwab Strategic Tr-intl Eqty Etf,Allocated Excess Cash,,-830.02
12/23/2024,Brokerage IRA,Usig - Ishares Tr-usd Inv Grde Etf,Dividends Received (tax-advantaged),,22.33
12/23/2024,Brokerage IRA,Schf - Schwab Strategic Tr-intl Eqty Etf,Allocated Excess Cash,,-4500.57
12/23/2024,Brokerage IRA,Vnqi - Vanguard Intl Equity Index F-glb Ex Us Etf,Allocated Excess Cash,,-1612.43
12/23/2024,Brokerage IRA,Shyg - Ishares Tr-0-5yr Hi Yl Cp,Dividends Received (tax-advantaged),,23.19
12/23/2024,Brokerage IRA,Nem - Newmont Corp,Dividends Received (tax-advantaged),,28.25
12/23/2024,Checking 4690,Chase,Credit Card Payments,,-1262.2
12/23/2024,Checking 4690,American Express,Credit Card Payments,,-1098.49
12/23/2024,Checking 4690,Chase,Credit Card Payments,,-13.66
12/22/2024,Credit Card 2637,Safeway,Groceries,,-57.18
12/22/2024,Credit Card 2637,Payment Thank You-mobile,Credit Card Payments,,1262.2
12/22/2024,Credit Card 2637,Lululemon Athletica,Clothing/Shoes,,-209.88
12/22/2024,Credit Card 2637,Target,General Merchandise,,-71.76
12/22/2024,Credit Card 2637,Nike,Clothing/Shoes,,-169.6
12/22/2024,Credit Card 5529,Payment Thank You-mobile,Credit Card Payments,,13.66
12/22/2024,Credit Card 2004,Mobile Payment - Thank You,Credit Card Payments,,1098.49
12/22/2024,Credit Card 2004,Microsoft,Online Services,,-19.99
12/22/2024,Credit Card 2004,Uber Eats,Restaurants,,-74.79
12/22/2024,Credit Card 2004,E-zpass,Travel,,-140
12/21/2024,Credit Card 2637,Amazon,General Merchandise,,-52.99
12/21/2024,Credit Card 2637,Abc*the Fitness Equation,Personal Care,,-75
12/21/2024,Credit Card 2637,Wingstop,Restaurants,,-33.37
12/21/2024,Credit Card 2637,Lululemon Athletica,Clothing/Shoes,,-135.68
12/21/2024,Credit Card 2637,Sp Altfragrances,Clothing/Shoes,,-90.21
12/21/2024,Credit Card 2637,Amazon,General Merchandise,,-52.99
12/21/2024,Credit Card 4008,Linkedin,Dues & Subscriptions,,-29.99
12/21/2024,Credit Card 4008,Adobe,Online Services,,-19.99
12/21/2024,Credit Card 4008,Microsoft,Online Services,,-144
12/21/2024,Credit Card 2004,Marriott International,Travel,,-164.98
12/20/2024,Credit Card 2637,Amazon Marketplace,General Merchandise,,-89.99
12/20/2024,Credit Card 2637,Nike,Clothing/Shoes,,-164.49
12/20/2024,Credit Card 2637,Amazon Marketplace,General Merchandise,,-52.14
12/20/2024,Credit Card 2637,The Home Depot,Home Improvement,,-51.74
12/20/2024,Credit Card 2637,Amazon Marketplace,General Merchandise,,-79.33
12/20/2024,Credit Card 2637,Burberry,Clothing/Shoes,,-496.88
12/20/2024,Credit Card 2637,Amazon Marketplace,General Merchandise,,-127.19
12/20/2024,Credit Card 2637,Amazon Marketplace,General Merchandise,,-92.05
12/20/2024,Credit Card 2637,Calvin Klein,Clothing/Shoes,,-227.43
12/20/2024,Credit Card 2637,Amazon Marketplace,General Merchandise,,-38.15
12/20/2024,Credit Card 2637,Hollister Co.,Clothing/Shoes,,-133.5
12/20/2024,Credit Card 2637,Leesburg Liberty,Clothing/Shoes,,-49.03
12/20/2024,Credit Card 2637,Hi *winecntrygiftbskt,Groceries,,-503.81
12/20/2024,Credit Card 2637,Domino's Pizza,Restaurants,,-38
12/20/2024,Checking 2637,Patreon,Dues & Subscriptions,,-5
12/20/2024,Checking 2637,Adp,Deposits,,2449.16
12/20/2024,Checking 2300,Online Transfer To Person Two S Everyday Checking Xxxxxxxxx2628 Ref #ib0qnqx6ps On 12/20/24,Transfers,,-85
12/20/2024,Checking 2300,State Of Maryland,Paychecks/Salary,,751.89
12/20/2024,Checking 2628,Online Transfer To Person Two S Everyday Checking Xxxxxx0819 Ref #ib0qnqxbz7 On 12/20/24,Transfers,,-85
12/20/2024,Checking 2628,Online Transfer From Person One Everyday Checking Xxxxxxxxx2300 Ref #ib0qnqx6ps On 12/20/24,Transfers,,85
12/20/2024,Credit Card 2004,Courtyard,Travel,,-186.88
12/20/2024,Credit Card 2004,Amazon Prime Video,Entertainment,,-9.99
12/20/2024,Brokerage IND,Itot - Ishares Tr-core S&p Ttl Stk,Dividends Received,,6.09
12/20/2024,Brokerage IND,Iwb - Ishares Tr-rus 1000 Etf,Dividends Received,,11.17
12/20/2024,Brokerage IND,Iwm - Ishares Tr-russell 2000 Etf,Dividends Received,,57.6
12/20/2024,Brokerage IND,Wm - Waste Mgmt Inc Del,Dividends Received,,4.5
12/20/2024,Brokerage IRA,Evrg - Evergy Inc,Dividends Received (tax-advantaged),,67.42
12/20/2024,Brokerage IRA,Iwm - Ishares Tr-russell 2000 Etf,Dividends Received (tax-advantaged),,291.48
12/20/2024,Brokerage IRA,Rli - Rli Corp,Dividends Received (tax-advantaged),,90.09
12/20/2024,Brokerage IRA,Vlo - Valero Energy Corp,Dividends Received (tax-advantaged),,42.8
12/20/2024,Brokerage IRA,Wm - Waste Mgmt Inc Del,Dividends Received (tax-advantaged),,20.25
12/19/2024,Credit Card 2637,Abercrombie & Fitch,Clothing/Shoes,,-67.84
12/19/2024,Credit Card 5529,Chef On Wheels Llc,Restaurants,,-13.66
12/19/2024,Savings 9793,Wells Fargo,Savings,,1
12/19/2024,Credit Card 2637,Wingstop,Restaurants,,-18.64
12/19/2024,Credit Card 2637,Giant Food,Groceries,,-58.05
12/19/2024,Credit Card 2637,Michaels,Hobbies,,-52.99
12/19/2024,Credit Card 2637,Michaels,Hobbies,,26.5
12/19/2024,Credit Card 2637,Michaels,Hobbies,,-43.43
12/19/2024,Credit Card 2637,Giant Food,Groceries,,-40.13
12/19/2024,Credit Card 2004,Ltfitness Product/svxxx-xxx-0048 Mn,Personal Care,,-15
12/19/2024,Credit Card 2004,Uber Eats,Restaurants,,-96.86
12/19/2024,Credit Card 2004,Springhill Suites,Travel,,-132.09
12/19/2024,Checking 2637,Paypal Inst Xfer Xx1219 Gamingfunds Person One,Transfers,,-20
12/19/2024,Checking 2300,Online Transfer To Person Two S Everyday Checking Xxxxxxxxx2628 Ref #ib0qnbf35l On 12/19/24,Transfers,,-162
12/19/2024,Checking 2628,Wells Fargo,Transfers,,-1
12/19/2024,Checking 2628,Online Transfer To Person Two S Everyday Checking Xxxxxx0819 Ref #ib0qnbf5r7 On 12/19/24,Transfers,,-162
12/19/2024,Checking 2628,Uplift,Travel,,-325.92
12/19/2024,Checking 2628,Online Transfer From Person One Everyday Checking Xxxxxxxxx2300 Ref #ib0qnbf35l On 12/19/24,Transfers,,162
12/19/2024,Credit Card 7031,Credit Balance Refund,Credit Card Payments,,-556.23
12/19/2024,Checking 4690,"General Dynamics Information Technology, Inc",Deposits,,5023.82
12/18/2024,Credit Card 2637,Amazon,General Merchandise,,-38
12/18/2024,Credit Card 2637,Giant Food,Groceries,,-11.28
12/18/2024,Credit Card 2637,Starbucks,Restaurants,,-72.74
12/18/2024,Credit Card 2004,Springhill Suites,Travel,,-132.74
12/18/2024,Credit Card 2004,Whole Foods Market,Groceries,,-46.82
12/18/2024,Checking 2300,Online Transfer To Person Two S Everyday Checking Xxxxxxxxx2628 Ref #ib0qn5wp9d On 12/18/24,Transfers,,-110
12/18/2024,Checking 2628,Online Transfer To Person Two S Everyday Checking Xxxxxx8597 Ref #ib0qn64vch On 12/18/24,Transfers,,-20
12/18/2024,Checking 2628,Online Transfer To Person Two S Everyday Checking Xxxxxx0819 Ref #ib0qn5wrzf On 12/18/24,Transfers,,-110
12/18/2024,Checking 2628,Online Transfer From Person Two S Everyday Checking Xxxxxx0819 Ref #ib0qn5x47b On 12/18/24,Transfers,,360
12/18/2024,Checking 2628,Online Transfer From Person One Everyday Checking Xxxxxxxxx2300 Ref #ib0qn5wp9d On 12/18/24,Transfers,,110
12/18/2024,Credit Card 2637,Venmo *alyssa Hill,Transfers,,-103
12/18/2024,Credit Card 2637,Transaction Fee,Service Charges/Fees,,-10
12/18/2024,Brokerage IND,Schf - Schwab Strategic Tr-intl Eqty Etf,Dividends Received,,59.88
12/18/2024,Brokerage IND,Itot - Ishares Tr-core S&p Ttl Stk,Securities Trades,,1705.68
12/18/2024,Brokerage IRA,Schf - Schwab Strategic Tr-intl Eqty Etf,Dividends Received (tax-advantaged),,5653.31
12/18/2024,Brokerage IRA,Schf - Schwab Strategic Tr-intl Eqty Etf,Securities Trades,,-881.12
12/18/2024,Brokerage IRA,Ceg - Constellation Energy Corp,Securities Trades,,-1162.59
12/17/2024,Credit Card 2004,Wegmans,Groceries,,-72.96
12/17/2024,Credit Card 2637,Loudoun County Public Schools,Education,,-35
12/17/2024,Credit Card 2637,Costco,General Merchandise,,-356.19
12/17/2024,Credit Card 2637,Mcdonald's,Restaurants,,-25.26
12/17/2024,Checking 4690,Chase,Credit Card Payments,,-1733.73
12/17/2024,Brokerage IND,Unh - Unitedhealth Group Inc,Dividends Received,,6.3
12/17/2024,Brokerage IRA,Lin - Linde Plc,Dividends Received (tax-advantaged),,13.9
12/17/2024,Brokerage IRA,Unh - Unitedhealth Group Inc,Dividends Received (tax-advantaged),,27.3
12/16/2024,Credit Card 2004,Flagship Car Wash,Automotive,,-31.99
12/16/2024,Credit Card 2637,Target,General Merchandise,,-77.29
12/16/2024,Credit Card 2637,Safeway,Groceries,,-123.3
12/16/2024,Credit Card 2637,Sheetz,Groceries,,-55.28
12/16/2024,Credit Card 2637,Safeway,Groceries,,-69.7
12/16/2024,Credit Card 5529,Chef On Wheels Llc,Restaurants,,-13.66
12/16/2024,Checking 2637,Paypal Inst Xfer Xx1216 Reaper Person One,Transfers,,-50
12/16/2024,Checking 2637,Helheim Scans Iat Paypal Xxxxxx Xxxxxxxxx9998 Person One,Transfers,,-32.71
12/16/2024,Checking 2637,Xanadu Games,Entertainment,,-15.97
12/16/2024,Checking 2637,Netflix,Entertainment,,-6.99
12/16/2024,Checking 2300,Capital One,Credit Card Payments,,-200
12/16/2024,Checking 2300,American Express,Credit Card Payments,,-200
12/16/2024,Checking 4690,American Express,Credit Card Payments,,-869.94
12/16/2024,Checking 4690,American Express,Credit Card Payments,,-19.41
12/16/2024,Credit Card 7031,Electronic Payment,Credit Card Payments,,200
12/16/2024,Credit Card 4008,Mobile Payment - Thank You,Refunds & Reimbursements,,19.41
12/16/2024,Credit Card 4008,Electronic Payment Received-thank,Credit Card Payments,,200
12/16/2024,Credit Card 2004,Sirius Xm,Entertainment,,-48.4
12/16/2024,Credit Card 2004,Target,General Merchandise,,-16.73
12/16/2024,Credit Card 2004,Mobile Payment - Thank You,Credit Card Payments,,869.94
12/16/2024,Credit Card 2004,E-zpass,Travel,,-140
12/16/2024,Credit Card 2637,Payment Thank You-mobile,Credit Card Payments,,1733.73
12/16/2024,Brokerage IND,Scha - Schwab Strategic Tr-us Sml Cap Etf,Dividends Received,,44.95
12/16/2024,Brokerage IND,Goog - Alphabet Inc-cap Stk Cl C,Dividends Received,,4
12/16/2024,Brokerage IRA,Duk - Duke Energy Corp New,Dividends Received (tax-advantaged),,83.6
12/16/2024,Brokerage IRA,Scha - Schwab Strategic Tr-us Sml Cap Etf,Dividends Received (tax-advantaged),,240.32
12/16/2024,Brokerage IRA,Nee - Nextera Energy Inc,Dividends Received (tax-advantaged),,75.19
12/16/2024,Brokerage IRA,Dd - Dupont De Nemours Inc,Dividends Received (tax-advantaged),,30.02
12/16/2024,Brokerage IRA,Goog - Alphabet Inc-cap Stk Cl C,Dividends Received (tax-advantaged),,28
12/16/2024,Brokerage IRA,Ko - Coca Cola Co,Dividends Received (tax-advantaged),,43.65
12/15/2024,Credit Card 2004,Amazon Prime Video,Entertainment,,-3.79
12/15/2024,Credit Card 2004,Sweetwater Tavern,Restaurants,,-121.23
12/15/2024,Credit Card 2004,The Fieldhouse,Restaurants,,-46.8
12/15/2024,Credit Card 2637,E-zpass,Travel,,-35
12/15/2024,Credit Card 2637,Transaction Fee,Service Charges/Fees,,-10
12/14/2024,Credit Card 2637,Chick-fil-a,Restaurants,,-63.42
12/14/2024,Credit Card 4008,Cosmopolitan Magazine,Printing,,-5
12/14/2024,Credit Card 4008,Better Homes And Gardens,Home Improvement,,-4.42
12/14/2024,Credit Card 2004,Walmart,General Merchandise,,-43.26
12/14/2024,Credit Card 2004,Springhill Suites,Travel,,-138.39
12/14/2024,Credit Card 2637,Venmo *alyssa Hill,Transfers,,-20.6
12/14/2024,Credit Card 2637,Tractor Supply Company,Home Improvement,,-87.94
12/13/2024,Credit Card 4008,Xbox,Entertainment,,-9.99
12/13/2024,Credit Card 2004,Openai *chatgpt Subssan Francisco Ca,Restaurants,,-20
12/13/2024,Credit Card 2004,Indoor Stand Leesburg Va,Entertainment,,-10
12/13/2024,Credit Card 2004,Roman?s Xii Ashburn Va,Restaurants,,-9
12/13/2024,Credit Card 2004,Courtyard,Travel,,-18.77
12/13/2024,Credit Card 2004,Gofan,Entertainment,,-35
12/13/2024,Credit Card 2004,Amazon Marketplace,General Merchandise,,-42.4
12/13/2024,Brokerage IND,Usd - Us Dollars And Money Fund Sweeps,Advisory Fee,,-127.92
12/13/2024,Brokerage IRA,Usd - Us Dollars And Money Fund Sweeps,Advisory Fee,,-1023.54
12/13/2024,Brokerage IRA,Ibkr - Interactive Brokers Group In-cl A,Dividends Received (tax-advantaged),,16.75
12/13/2024,Brokerage IRA,Dow - Dow Inc,Dividends Received (tax-advantaged),,63.7
12/13/2024,Checking 2637,Steam,Entertainment,,-21
12/13/2024,Checking 2637,Wells Fargo,Credit Card Payments,,-143.82
12/13/2024,Savings 9667,Online Transfer To Person Two S Everyday Checking Xxxxxx0819 Ref #ib0qlhg64j On 12/13/24,Transfers,,-20
12/13/2024,Checking 4690,Datastax Inc-osv Xxxxxxxxxx Xx1213 208osv03icc Person One,Refunds & Reimbursements,,6353.36
12/13/2024,Checking 4690,"Aatd, Llc Ach Pmt Xxxxxx Xxxxxxx0101 Person One",Paychecks/Salary,,1800
12/12/2024,Credit Card 2004,Lifecafe,Restaurants,,-15.2
12/12/2024,Credit Card 2637,Cvs Pharmacy,Healthcare/Medical,,-8.57
12/12/2024,Credit Card 2637,Safeway,Groceries,,-128.74
12/12/2024,Credit Card 2004,Uber Eats,Restaurants,,-62.01
12/12/2024,Checking 4690,Chase,Credit Card Payments,,-1754.6
12/12/2024,Brokerage IND,Msft - Microsoft Corp,Dividends Received,,217.46
12/12/2024,Brokerage IND,Adm - Archer Daniels Midland Co,Dividends Received,,8
12/12/2024,Brokerage IRA,Tmus - T-mobile Us Inc,Dividends Received (tax-advantaged),,22
12/12/2024,Brokerage IRA,Adm - Archer Daniels Midland Co,Dividends Received (tax-advantaged),,51
12/12/2024,Brokerage IRA,Hd - Home Depot Inc,Dividends Received (tax-advantaged),,60.75
12/11/2024,Credit Card 2004,Rhee X0663 Llc Fairfax Va,Other Expenses,,-8.1
12/11/2024,Credit Card 2637,Wendy's,Restaurants,,-10.59
12/11/2024,Credit Card 2637,Sheetz,Groceries,,-65.43
12/11/2024,Credit Card 2637,American Airlines,Travel,,-741.25
12/11/2024,Credit Card 2637,Gofan - Loudoun County,Entertainment,,-7
12/11/2024,Credit Card 2637,Autozone,Automotive,,-41.27
12/11/2024,Credit Card 2637,Modan Restaurant,Restaurants,,-249.35
